,PC1,PC2,PC3,class,name
0,-14993.59554965742,-510.3251692098792,-108.66431571416909,andesite,andesite01ITR.jpg
1,-14992.609553726834,-508.6077058791224,-106.81907546181964,andesite,andesite01LQQ.jpg
2,-14991.59447213137,-510.2885956359871,-108.17477747093352,andesite,andesite0230P.jpg
3,-14990.602295938092,-508.7546086466874,-103.21225128028023,andesite,andesite02741.jpg
4,-14989.593663129774,-507.90059227045003,-103.78493079570478,andesite,andesite02Q0N.jpg
5,-14988.579987839468,-508.1981267507552,-103.20713157366838,andesite,andesite02UT8.jpg
6,-14987.607635301005,-508.1613273514072,-105.32882785083088,andesite,andesite02V0N.jpg
7,-14986.595032297733,-507.66061472427896,-103.28165802969417,andesite,andesite031XF.jpg
8,-14985.594804154935,-508.05184918087366,-104.03372315571526,andesite,andesite03GPU.jpg
9,-14984.604607272426,-506.5371291430887,-96.1509238761246,andesite,andesite03OSJ.jpg
10,-14983.602515236777,-509.8341347824999,-108.44117216753861,andesite,andesite03PIF.jpg
11,-14982.596311915255,-507.4068485772811,-102.67700043653343,andesite,andesite03VGY.jpg
12,-14981.602118550072,-507.0113244018342,-103.31250214286874,andesite,andesite03X8U.jpg
13,-14980.629171100138,-504.84495676539154,-84.84609583889251,andesite,andesite03XGF.jpg
14,-14979.596115210761,-509.6073301643638,-107.45044569613295,andesite,andesite03Z9A.jpg
15,-14978.613227586227,-507.78737764055853,-105.71294489861323,andesite,andesite041BX.jpg
16,-14977.596028429118,-508.58646812593474,-104.91890269590193,andesite,andesite049S1.jpg
17,-14976.594513233016,-506.8464537016308,-99.77712526599906,andesite,andesite04DX0.jpg
18,-14975.605749973354,-507.8229337604557,-105.06030509134482,andesite,andesite04NZL.jpg
19,-14974.594743045063,-508.5140037648266,-104.90140078059987,andesite,andesite04OYS.jpg
20,-14973.592080736991,-507.40742639068475,-103.1036608985545,andesite,andesite04SB9.jpg
21,-14972.594696642338,-508.90548735602545,-105.96874981598408,andesite,andesite04TUM.jpg
22,-14971.612651041503,-507.5251309590498,-105.22729944125274,andesite,andesite04ZDG.jpg
23,-14970.595321473123,-508.93860154471747,-106.23264976956915,andesite,andesite052HU.jpg
24,-14969.60609041474,-507.74707033026965,-105.15767824219134,andesite,andesite05BVI.jpg
25,-14968.61175096954,-505.6810962086827,-94.46787605245434,andesite,andesite05KA0.jpg
26,-14967.60372079233,-508.0922863015301,-105.31158090594367,andesite,andesite05S8U.jpg
